date,max_temperature,avg_hourly_temperature,avg_temperature,min_temperature,max_humidex,min_windchill,max_relative_humidity,avg_hourly_relative_humidity,avg_relative_humidity,min_relative_humidity,max_dew_point,avg_hourly_dew_point,avg_dew_point,min_dew_point,max_wind_speed,avg_hourly_wind_speed,avg_wind_speed,min_wind_speed,max_wind_gust,wind_gust_dir_10s,max_pressure_sea,avg_hourly_pressure_sea,avg_pressure_sea,min_pressure_sea,max_pressure_station,avg_hourly_pressure_station,avg_pressure_station,min_pressure_station,max_visibility,avg_hourly_visibility,avg_visibility,min_visibility,max_health_index,avg_hourly_health_index,avg_health_index,min_health_index,heatdegdays,cooldegdays,growdegdays_5,growdegdays_7,growdegdays_10,precipitation,rain,snow,snow_on_ground,sunrise,sunset,daylight,sunrise_f,sunset_f,min_uv_forecast,max_uv_forecast,min_high_temperature_forecast,max_high_temperature_forecast,min_low_temperature_forecast,max_low_temperature_forecast,solar_radiation,max_cloud_cover_4,avg_hourly_cloud_cover_4,avg_cloud_cover_4,min_cloud_cover_4,max_cloud_cover_8,avg_hourly_cloud_cover_8,avg_cloud_cover_8,min_cloud_cover_8,max_cloud_cover_10,avg_hourly_cloud_cover_10,avg_cloud_cover_10,min_cloud_cover_10
2021-06-01,32.3,23.15,21.85,11.4,33,,76,48.8,49.5,23,13.2,10.7,10.8,8.4,28,7.58,14,0,33,34,101.99,101.56,101.5,101.02,96.95,96.55,96.5,96.05,16100,16100,16100,16100,,,,,0,3.8,16.9,14.8,11.8,0,,,,04:54:00,20:58:00,16.07,4.9,20.97,10,10,31,31,14,14,,3,0.2,1.5,0,,,,,,,,
2021-05-31,28.9,19.21,17.84,6.8,29,,86,53.1,55,24,11.3,8.1,8.4,5.6,21,7.54,10.5,0,35,34,102.26,101.99,101.98,101.69,97.17,96.91,96.91,96.65,16100,15766.7,12100,8100,,,,,0.2,0,12.8,10.8,7.8,0,,,,04:55:00,20:56:00,16.02,4.92,20.93,10,10,26,26,13,13,,4,1,2,0,,,,,,,,
2021-05-30,25.2,16.08,14.45,3.7,,,90,51,55.5,21,7.3,4.5,4.3,1.3,21,6,10.5,0,35,24,102.17,101.97,101.98,101.79,97.06,96.88,96.88,96.7,16100,16100,16100,16100,,,,,3.5,0,9.4,7.5,4.5,0,,,,04:56:00,20:55:00,15.98,4.93,20.92,8,10,26,26,8,8,,4,0.6,2,0,,,,,,,,
2021-05-29,23.4,13.35,12.25,1.1,,,97,55.8,59.5,22,5.8,2.7,3,0.1,30,9.42,15,0,39,34,102.51,102.16,102.14,101.76,97.34,97.02,97,96.66,16100,16100,16100,16100,,,,,5.8,0,7.2,5.2,2.2,0,,,,04:57:00,20:54:00,15.95,4.95,20.9,9,9,24,24,3,6,,3,0.1,1.5,0,,,,,,,,
2021-05-28,18,12.76,13.35,8.7,,,85,55.3,57.5,30,6.6,3.7,3,-0.6,34,13.88,17,0,48,34,102.27,101.84,101.8,101.34,97.11,96.73,96.69,96.27,16100,16033.3,15300,14500,,,,,4.7,0,8.3,6.3,3.4,0.2,,,,04:57:00,20:53:00,15.93,4.95,20.88,6,8,15,17,5,6,,4,3.3,2,0,,,,,,,,
2021-05-27,19.6,17.1,16.25,12.9,,,65,36.7,45.5,26,8,1.9,2.8,-2.3,37,24.62,23,9,65,23,101.32,100.8,100.91,100.5,96.25,95.79,95.88,95.52,16100,16100,16100,16100,,,,,1.8,0,11.2,9.2,6.2,0.2,,,,04:58:00,20:52:00,15.9,4.97,20.87,5,5,19,20,9,9,,4,3.3,2.5,1,,,,,,,,
2021-05-26,24.8,16.87,15.45,6.1,,,97,52.8,62,27,8.6,5.4,5.5,2.3,28,8.38,14,0,39,26,101.9,101.51,101.51,101.13,96.78,96.43,96.44,96.1,16100,16100,16100,16100,,,,,2.5,0,10.4,8.4,5.5,0.2,,,,04:59:00,20:51:00,15.87,4.98,20.85,9,9,23,23,13,13,,4,1.5,2,0,,,,,,,,
2021-05-25,23,15.09,16.14,9.3,,,94,63.5,64.5,35,11.4,7.5,8.2,5,30,9.29,15,0,45,23,101.75,101.51,101.51,101.26,96.65,96.43,96.43,96.21,16100,16100,16100,16100,,,,,1.9,0,11.1,9.1,6.1,1.2,,,,05:00:00,20:50:00,15.83,5,20.83,3,8,20,20,9,9,,4,2,2,0,,,,,,,,
2021-05-24,21,16.6,17.5,14,,,64,49.7,49,34,8.7,5.9,6.3,3.9,39,20.38,21.5,4,48,23,101.38,100.95,101.03,100.69,96.31,95.92,96,95.7,16100,16100,16100,16100,,,,,0.5,0,12.5,10.5,7.5,0,,,,05:01:00,20:48:00,15.78,5.02,20.8,5,5,20,20,11,11,,4,3.8,3,2,,,,,,,,
2021-05-23,25.6,16.43,15.1,4.6,,,83,48.1,52.5,22,8.1,4.5,5,2,22,7.96,11,0,35,34,101.45,100.98,100.98,100.51,96.37,95.94,95.93,95.49,16100,16100,16100,16100,,,,,2.9,0,10.1,8.1,5.1,0,,,,05:02:00,20:47:00,15.75,5.03,20.78,8,8,24,24,8,8,,4,1.8,2,0,,,,,,,,
2021-05-22,24.2,14.85,12.6,1,,,81,43,50.5,20,3,0.7,0.8,-1.3,34,10.83,17,0,50,34,102.16,101.7,101.69,101.22,97.04,96.6,96.6,96.16,16100,16100,16100,16100,,,,,5.4,0,7.6,5.6,2.6,0,,,,05:03:00,20:46:00,15.72,5.05,20.77,8,8,23,23,7,8,,4,0.7,2,0,,,,,,,,
2021-05-21,21.3,13.02,11.55,1.8,,,91,49.8,56,21,4.4,0.6,0.8,-2.7,43,17.12,21.5,0,55,35,102.14,101.95,101.94,101.75,96.97,96.82,96.8,96.63,16100,16100,16100,16100,,,,,6.5,0,6.5,4.5,1.6,0,,,,05:05:00,20:45:00,15.67,5.08,20.75,7,7,20,21,3,5,,3,0.4,1.5,0,,,,,,,,
2021-05-20,18.2,10.51,9.1,0,,,92,59.8,60.5,29,5.6,2.1,2.4,-0.8,45,17.33,22.5,0,68,36,101.87,101.67,101.68,101.48,96.73,96.53,96.55,96.36,16100,15966.7,14500,12900,,,,,8.9,0,4.1,2.1,0,0.4,,,,05:06:00,20:43:00,15.62,5.1,20.72,6,7,16,18,4,6,,4,2.1,2,0,,,,,,,,
2021-05-19,17.2,8.66,7.65,-1.9,,-2,88,53.6,56,24,2,-1.3,-1.1,-4.2,50,12.21,25,0,61,35,101.9,101.67,101.66,101.42,96.73,96.51,96.5,96.27,16100,16100,16100,16100,,,,,10.3,0,2.6,0.6,0,0,,,,05:07:00,20:42:00,15.58,5.12,20.7,7,7,17,17,4,4,,4,0.7,2,0,,,,,,,,
2021-05-18,16.5,11.32,10.5,4.5,,,93,43.7,56,19,8.1,-2.4,-0.2,-8.4,37,22.12,18.5,0,55,25,101.81,101.27,101.19,100.58,96.65,96.17,96.1,95.55,16100,16100,16100,16100,,,,,7.5,0,5.5,3.5,0.5,0.2,,,,05:08:00,20:41:00,15.55,5.13,20.68,7,7,14,14,5,5,,4,2.1,2,0,,,,,,,,
2021-05-17,24.1,16.54,16.64,9.2,,,85,56.4,57.5,30,10,7,6.7,3.3,34,12.54,17,0,52,25,100.85,100.65,100.68,100.52,95.8,95.66,95.66,95.51,16100,16100,16100,16100,,,,,1.4,0,11.6,9.6,6.6,0,,,,05:09:00,20:39:00,15.5,5.15,20.65,7,9,21,25,8,8,,4,1.7,2,0,,,,,,,,
2021-05-16,29.5,20.15,18.55,7.6,28,,79,42.4,50,21,6.7,5.2,5,3.2,28,11.12,14,0,41,20,101.42,100.98,100.97,100.51,96.37,95.97,95.96,95.54,16100,16100,16100,16100,,,,,0,0.6,13.6,11.6,8.6,0,,,,05:11:00,20:38:00,15.45,5.18,20.63,9,9,29,29,10,12,,4,0.3,2,0,,,,,,,,
2021-05-15,27.1,17.01,16.05,5,26,,88,53,56,24,8.2,6,6.2,4.1,11,5.67,5.5,0,,,101.91,101.55,101.53,101.15,96.83,96.49,96.47,96.11,16100,15900,13700,11300,,,,,2,0,11.1,9.1,6,0,,,,05:12:00,20:36:00,15.4,5.2,20.6,9,9,27,27,8,10,,4,0.4,2,0,,,,,,,,
